City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,bull savanna,17.8868,-77.5902,25.51,89,99,4.15,JM,1686193151
143,belmonte,-15.8631,-38.8828,22.58,81,4,4.1,BR,1686193151
144,sechura,-5.5569,-80.8222,24.57,75,30,7.12,PE,1686193151
145,cabrero,-37.0333,-72.4,12.41,73,100,3.02,CL,1686192918
146,tura,25.5198,90.2201,28.5,68,100,1.62,IN,1686193000
147,saipan,15.1355,145.701,29.25,100,31,6.71,MP,1686193152
148,vadso,70.0744,29.7487,4.49,70,20,4.63,NO,1686193152
149,kourou,5.1552,-52.6478,25.03,92,96,2.43,GF,1686193152
150,la'ie,21.6477,-157.9253,29.98,67,79,1.79,US,1686193152
151,pacific grove,36.6177,-121.9166,17.05,80,100,5.66,US,1686193152
152,puerto baquerizo moreno,-0.9,-89.6,25.56,80,82,4.72,EC,1686193152
153,zuidhorn,53.2467,6.4028,11.97,44,100,3.09,NL,1686193152
154,uturoa,-16.7333,-151.4333,26.89,66,35,9.17,PF,1686193153
155,mersing,2.4312,103.8405,28.95,89,40,2.57,MY,1686193153
156,ibiza,38.9088,1.433,21.0,92,20,1.54,ES,1686193153
157,gadzhiyevo,69.2551,33.3362,4.46,74,31,2.28,RU,1686193153
158,lazaro cardenas,17.9583,-102.2,27.31,76,37,2.05,MX,1686193048
159,kapuskasing,49.4169,-82.4331,14.05,41,20,2.57,CA,1686192975
160,ebaye,8.7748,167.7392,31.01,74,0,5.14,MH,1686193154
161,freetown,8.484,-13.2299,26.84,83,75,2.06,SL,1686193154
162,burnie,-41.0667,145.9167,13.58,95,54,5.15,AU,1686193154
163,khovd,48.0056,91.6419,25.78,22,6,0.45,MN,1686193154
164,skeldon,5.8833,-57.1333,25.1,91,100,2.73,GY,1686193154
165,prince george,53.9166,-122.753,25.69,23,0,4.63,CA,1686193154
166,labuan,5.2767,115.2417,31.2,66,20,2.57,MY,1686193154
167,shingu,33.7333,135.9833,21.82,77,100,0.38,JP,1686192858
168,oujda-angad,34.6805,-1.9076,18.35,88,75,4.12,MA,1686193155
169,manggar,-2.8833,108.2667,28.34,77,100,6.3,ID,1686193155
170,granja,-3.1203,-40.8261,23.16,93,0,1.72,BR,1686193155
171,newman,37.3138,-121.0208,24.13,61,100,1.34,US,1686193155
172,illizi,26.4833,8.4667,23.89,23,30,0.41,DZ,1686193155
173,robore,-18.3333,-59.75,20.95,70,11,1.37,BO,1686193155
174,tibro,58.4245,14.1616,10.43,94,7,1.53,SE,1686193155
175,suntar,62.1444,117.6319,18.83,33,100,1.14,RU,1686193156
176,coos bay,43.3665,-124.2179,14.99,94,100,3.09,US,1686193156
177,nurota,40.5614,65.6886,33.19,11,2,3.04,UZ,1686193156
178,lodja,-3.4833,23.4333,20.79,89,74,0.5,CD,1686193156
179,new norfolk,-42.7826,147.0587,14.72,88,100,0.45,AU,1686193156
180,concepcion,-36.827,-73.0498,13.89,94,100,6.69,CL,1686192951
181,jamestown,42.097,-79.2353,13.8,47,20,2.57,US,1686193156
182,alakurtti,66.9672,30.3491,5.84,90,99,1.04,RU,1686193157
183,nelson bay,-32.7167,152.15,19.49,75,69,3.58,AU,1686193039
184,chibougamau,49.9168,-74.3659,11.79,71,100,2.57,CA,1686193157
185,santa rosa del sur,7.9644,-74.0544,21.66,96,100,1.42,CO,1686193157
186,salekhard,66.53,66.6019,8.98,49,78,2.86,RU,1686193157
187,san rafael,-34.6177,-68.3301,13.68,63,88,2.63,AR,1686193157
188,lihue,21.9789,-159.3672,26.77,70,0,3.6,US,1686193158
189,kapa'a,22.0752,-159.319,27.18,70,0,3.6,US,1686193158
190,richards bay,-28.783,32.0377,22.31,41,0,3.81,ZA,1686193081
191,krasnik,50.9236,22.2271,12.93,93,69,2.55,PL,1686193159
192,kerikeri,-35.2268,173.9474,17.17,74,30,0.89,NZ,1686193159
193,cockburn town,21.4612,-71.1419,28.39,84,80,7.55,TC,1686193159
194,bonthe,7.5264,-12.505,26.31,84,100,2.71,SL,1686193159
195,devin,41.7433,24.4,11.07,94,46,0.6,BG,1686192899
196,hasaki,35.7333,140.8333,30.12,69,100,4.22,JP,1686193160
197,mossel bay,-34.1831,22.146,13.96,69,84,2.64,ZA,1686193160
198,port alfred,-33.5906,26.891,14.78,76,4,3.15,ZA,1686193160
199,dar chioukh,34.8964,3.4854,20.65,48,94,7.18,DZ,1686193160
200,miles city,46.4083,-105.8406,20.54,77,20,3.09,US,1686193160
201,lambayong,6.5194,125.0444,27.24,62,18,1.42,PH,1686193160
202,flying fish cove,-10.4217,105.6791,26.82,78,100,6.69,CX,1686193161
203,bayji,34.9311,43.487,29.3,20,2,3.18,IQ,1686193161
204,nacaome,13.5361,-87.4875,25.41,83,75,0.63,HN,1686193161
205,taman',45.2117,36.7161,17.7,69,67,7.1,RU,1686193161
206,alaghsas,17.0187,8.0168,26.87,52,4,2.98,NE,1686193162
207,gorontalo,0.5412,123.0595,31.53,55,52,3.63,ID,1686193162
208,anzio,41.4853,12.6179,20.48,79,100,2.61,IT,1686193162
209,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,45,75,7.0,RU,1686193162
210,badr hunayn,23.7829,38.7905,31.73,22,2,0.76,SA,1686193162
211,coruripe,-10.1256,-36.1756,24.5,85,65,3.3,BR,1686193163
212,belyy yar,53.6039,91.3903,26.94,41,0,2.0,RU,1686193163
213,xining,36.6167,101.7667,18.71,33,94,0.33,CN,1686193155
214,sheksna,59.21,38.5107,6.98,88,99,1.22,RU,1686193163
215,olinda,-8.0089,-34.8553,25.85,89,75,2.06,BR,1686192909
216,punta arenas,-53.15,-70.9167,-0.94,86,0,3.6,CL,1686193163
217,maturin,9.75,-63.1767,25.91,100,71,2.06,VE,1686193163
218,nova sintra,14.8667,-24.7167,21.62,85,8,2.09,CV,1686193164
219,tonghae,37.5439,129.1069,25.82,49,100,3.11,KR,1686193164
220,tosontsengel,48.7567,98.2839,22.02,36,39,2.54,MN,1686193164
221,zuni pueblo,35.0725,-108.8506,21.35,14,23,7.68,US,1686193164
222,midvagur,62.0511,-7.1939,7.46,100,100,1.54,FO,1686193164
223,port augusta,-32.5,137.7667,18.12,46,0,8.1,AU,1686193164
224,talara,-4.5772,-81.2719,25.42,73,0,4.63,PE,1686193164
225,rongelap,11.1635,166.8941,27.71,82,98,7.12,MH,1686193164
226,alice springs,-23.7,133.8833,17.75,34,0,5.66,AU,1686192909
227,awjilah,29.1081,21.2869,23.05,50,11,6.67,LY,1686193165
228,siparia,10.1333,-61.5,26.57,87,96,5.12,TT,1686193165
229,tyre,33.2733,35.1939,21.22,71,70,0.61,LB,1686193165
230,igrim,63.1906,64.4162,11.0,49,58,3.06,RU,1686193165
231,byron bay,-28.65,153.6167,23.73,60,14,3.94,AU,1686192950
232,plastun,44.7561,136.2939,13.43,94,100,1.87,RU,1686193165
233,cadale,2.7603,46.3222,26.51,80,85,7.85,SO,1686193165
234,vallenar,-28.5708,-70.7581,14.31,81,0,0.49,CL,1686193166
235,west island,-12.1568,96.8225,25.99,83,75,9.26,CC,1686193166
236,madras,13.0878,80.2785,33.99,66,40,5.66,IN,1686193094
237,nuku'alofa,-21.1333,-175.2,22.19,88,100,2.57,TO,1686193160
238,urucara,-2.5364,-57.76,23.43,96,78,1.05,BR,1686193166
239,yeed,4.55,43.0333,23.94,76,61,6.38,SO,1686193166
240,mahina,-17.5065,-149.489,27.87,57,40,4.12,PF,1686193166
241,prnjavor,44.8703,17.6628,14.59,95,90,0.94,BA,1686193166
242,sutherlin,43.3901,-123.3126,25.0,36,0,3.09,US,1686193167
243,yamba,-5.9,22.3,23.27,60,61,0.74,CD,1686193167
244,usogorsk,63.4106,48.6872,6.57,59,38,1.91,RU,1686193167
245,kpandae,8.4689,-0.0113,23.84,93,100,4.52,GH,1686193167
246,aitape,-3.1374,142.3475,29.75,71,20,2.35,PG,1686193167
247,griffith,41.5284,-87.4237,15.62,58,0,2.06,US,1686193168
248,coahuayana de hidalgo,18.7,-103.6583,26.44,82,94,1.84,MX,1686193168
249,weno,7.4515,151.8468,26.45,88,99,7.9,FM,1686193168
